GeoFips,GeoName,2008,2009,2010,2011,2012,2013,2014,2015,2016
1001,"Autauga, AL",33315,32991,33736,34490,35433,35492,36487,38325,39221
1003,"Baldwin, AL",36467,35478,36945,38423,38628,38828,40174,42137,43623
1005,"Barbour, AL",25893,26189,27842,28026,27872,29719,29566,31277,31288
1007,"Bibb, AL",24990,23736,25064,25888,27003,27225,28027,28886,28681
1009,"Blount, AL",27953,27633,27980,28507,29919,30222,31506,32670,32686
1011,"Bullock, AL",23224,23818,23445,23930,24782,24662,23830,24995,25333
1013,"Butler, AL",27937,27488,28633,28927,30163,31763,33166,34857,34560
1015,"Calhoun, AL",30991,30231,30993,31689,32107,31790,32580,33815,34194
1017,"Chambers, AL",26186,26210,27441,28596,28967,29085,29614,30777,31620
1019,"Cherokee, AL",27699,27247,28221,29049,30248,31534,32688,34898,34711
1021,"Chilton, AL",27575,27193,27575,28793,29486,29714,30360,31842,32298
1023,"Choctaw, AL",24591,25466,27947,29365,31563,33769,34549,34944,35319
1025,"Clarke, AL",27032,27324,28611,29258,29991,31405,32450,33774,34642
1027,"Clay, AL",28435,27700,27908,26359,26962,27443,28629,29998,29778
1029,"Cleburne, AL",27073,26780,28070,28635,30275,31424,32818,34336,34022
1031,"Coffee, AL",34137,33951,35451,35969,36025,37095,37704,39408,39745
1033,"Colbert, AL",30550,30473,31718,32507,32652,32863,34083,34960,35426
1035,"Conecuh, AL",24931,25084,26342,26497,27037,29045,28904,30125,30442
1037,"Coosa, AL",26643,26147,23887,25485,26096,26615,27084,28688,30002
1039,"Covington, AL",27956,28188,29536,29426,30091,30738,31493,32498,32800
1041,"Crenshaw, AL",28105,28165,30116,29292,30639,33660,34513,37100,35195
1043,"Cullman, AL",30281,29973,30606,31065,32373,34005,34447,36532,35751
1045,"Dale, AL",31482,31893,32916,33859,33319,33607,33804,34598,34517
1047,"Dallas, AL",27135,26866,27981,29064,29103,29475,29782,31456,31986
1049,"DeKalb, AL",26337,25924,26894,25901,27006,28126,28977,30675,29973
1051,"Elmore, AL",33498,33552,34311,35253,36039,35476,36048,37660,38644
1053,"Escambia, AL",25443,25401,26856,27583,28813,29383,29433,30004,30407
1055,"Etowah, AL",29311,29195,30348,30810,31215,31378,32574,33967,34487
1057,"Fayette, AL",25046,25230,26259,27160,28600,29220,30172,32042,32297
1059,"Franklin, AL",27430,26799,27944,27864,28293,28596,29644,31347,30757
1061,"Geneva, AL",27693,28191,28960,29352,29324,30605,31051,32631,32690
1063,"Greene, AL",26471,26909,26647,27527,27624,30596,28891,30841,31320
1065,"Hale, AL",28068,28492,28902,30161,30758,31881,31778,33843,34491
1067,"Henry, AL",30522,30238,30931,32519,33397,35225,36116,38017,39208
1069,"Houston, AL",34781,33931,35536,36684,36859,36782,37657,38939,39652
1071,"Jackson, AL",29654,28718,29606,30418,31114,32101,32890,33755,34210
1073,"Jefferson, AL",42483,40325,42184,43383,45420,44701,46244,48332,48909
1075,"Lamar, AL",25312,25184,26713,28057,29180,29273,29926,31135,31556
1077,"Lauderdale, AL",30122,29614,31123,31984,32556,32565,33920,34881,35176
1079,"Lawrence, AL",27727,27301,27750,28361,29348,31247,32007,31878,31042
1081,"Lee, AL",30152,29209,30067,30989,32058,31766,32959,34058,35036
1083,"Limestone, AL",33080,32900,34178,35765,36563,36677,37028,38074,39181
1085,"Lowndes, AL",28711,29552,30871,30752,33069,34691,35487,36625,35676
1087,"Macon, AL",24261,25360,25506,25947,26254,26849,27551,28365,29125
1089,"Madison, AL",41265,40559,42010,43629,44236,43940,44965,46514,47581
1091,"Marengo, AL",29583,29119,30526,31589,32679,33194,34269,35263,35706
1093,"Marion, AL",25282,24998,25695,26032,27427,28071,29452,30647,30723
1095,"Marshall, AL",28868,29044,29793,29767,31042,31329,32389,34397,33864
1097,"Mobile, AL",31646,30686,32006,33796,33524,33964,34654,36088,36226
1099,"Monroe, AL",27326,26335,27331,27471,27653,29002,29777,31759,32111
1101,"Montgomery, AL",35953,35214,35791,37422,37361,37683,38663,40168,41115
1103,"Morgan, AL",32540,31570,32500,32945,33662,34075,35491,36148,36374
1105,"Perry, AL",24621,24510,26134,26880,27029,28342,27110,28971,29752
1107,"Pickens, AL",27854,28305,29106,29487,31251,32401,31333,31775,31838
1109,"Pike, AL",29839,30129,31794,32316,31639,30892,33437,34692,35034
1111,"Randolph, AL",27818,27114,27678,26622,28065,29055,31098,32743,31996
1113,"Russell, AL",26148,26551,28379,29494,29045,28597,28892,30129,30733
1115,"St. Clair, AL",30736,29598,29906,31075,32876,32628,34195,35565,36141
1117,"Shelby, AL",44460,41611,42345,44737,46626,46999,48858,50697,51217
1119,"Sumter, AL",24043,24992,26547,26846,28023,29953,29380,29489,30006
1121,"Talladega, AL",27223,26650,27842,28592,29278,29584,30725,31457,32099
1123,"Tallapoosa, AL",31112,31206,32702,32872,33981,34372,34712,37058,37913
1125,"Tuscaloosa, AL",32600,31727,32435,33219,33861,33579,34466,34871,34785
1127,"Walker, AL",32995,31844,33159,34444,34636,34414,35608,36847,36500
1129,"Washington, AL",28646,28818,29845,30503,31375,32514,33536,34590,35316
1131,"Wilcox, AL",22902,24107,25887,26504,26764,30053,28134,29181,29841
1133,"Winston, AL",27500,27061,27821,27953,28706,28957,30555,31881,31892
2010,"Aleutian Islands Census Area, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
2013,"Aleutians East Borough, AK*",35241,34026,35478,37067,36699,39001,40439,49547,57494
2016,"Aleutians West Census Area, AK*",40636,38542,41254,46540,51150,51209,54250,54547,57749
2020,"Anchorage Municipality, AK",55438,53952,56738,58877,59637,57745,60983,63524,62142
2050,"Bethel Census Area, AK*",30823,32262,34272,36745,37691,37001,39491,39955,40834
2060,"Bristol Bay Borough, AK",52288,62834,72079,79050,91327,107964,113735,106478,114788
2063,"Chugach Census Area, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
2066,"Copper River Census Area, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
2068,"Denali Borough, AK*",53377,56782,62713,70681,76441,79580,88277,90843,90899
2070,"Dillingham Census Area, AK*",38109,39717,44045,47133,48730,49639,54156,54330,54934
2090,"Fairbanks North Star Borough, AK",45984,45461,46396,51270,51103,49557,52333,54000,52866
2100,"Haines Borough, AK*",38430,38422,41917,46614,48454,54223,58742,66863,67146
2105,"Hoonah-Angoon Census Area, AK*",37305,36402,42473,45862,47528,50846,54685,54949,52891
2110,"Juneau City and Borough, AK",52735,52374,55217,58418,61292,60611,62347,63474,64006
2122,"Kenai Peninsula Borough, AK*",42271,41856,43959,46596,47958,47294,51071,51611,50179
2130,"Ketchikan Gateway Borough, AK*",52346,53253,54763,57328,59287,59942,62276,64723,63757
2150,"Kodiak Island Borough, AK",45109,44321,49464,51927,54805,53704,57637,60751,57526
2158,"Kusilvak Census Area, AK*",23431,23861,25490,26816,27408,26239,29559,28084,29686
2164,"Lake and Peninsula Borough, AK*",40324,38646,42177,46115,50959,51562,53854,55570,54356
2170,"Matanuska-Susitna Borough, AK",40200,39920,40541,43425,44608,44465,46603,47780,45904
2180,"Nome Census Area, AK",37345,37210,40588,42014,42871,42585,46895,47384,47358
2185,"North Slope Borough, AK*",29821,39998,51202,63461,74300,83949,94261,94710,83899
2188,"Northwest Arctic Borough, AK",35318,36743,39686,38970,39778,39127,42652,42463,42996
2195,"Petersburg Borough, AK*",(NA),44837,49839,53647,55271,62669,64348,65495,62130
2198,"Prince of Wales-Hyder Census Area, AK*",(NA),31345,34880,35074,36400,37033,39729,41007,41441
2201,"Prince of Wales-Outer Ketchikan Census Area, AK*",32412,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
2220,"Sitka City and Borough, AK*",47430,47816,52580,59008,61384,64768,66138,67980,63117
2230,"Skagway Municipality, AK*",71815,67429,73732,75402,85532,81095,78316,69692,71434
2231,"Skagway-Yakutat-Angoon Census Area, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
2232,"Skagway-Hoonah-Angoon Census Area, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
2240,"Southeast Fairbanks Census Area, AK*",37904,38524,40722,43657,42619,43941,45870,48304,47857
2261,"Valdez-Cordova Census Area, AK*",49800,48142,50245,51765,53537,50766,55208,57754,56129
2275,"Wrangell City and Borough, AK*",(NA),34094,39266,42322,44388,45344,50517,52125,50107
2280,"Wrangell-Petersburg Census Area, AK*",44068,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
2282,"Yakutat City and Borough, AK*",48265,45059,48261,52902,55693,64108,63159,57726,51223
2290,"Yukon-Koyukuk Census Area, AK*",37252,39005,41511,45924,47714,46608,50100,48618,51318
2901,"Aleutian Islands Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
2903,"Angoon Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
2904,"Barrow-North Slope Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
2905,"Bethel Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
2907,"Bristol Bay Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
2908,"Cordova-McCarthy Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
2910,"Haines Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
2912,"Kenai-Cook Inlet Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
2916,"Kuskokwim Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
2919,"Outer Ketchikan Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
2920,"Prince of Wales Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
2921,"Seward Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
2922,"Sitka Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
2923,"Skagway-Yakutat Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
2924,"Southeast Fairbanks Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
2925,"Upper Yukon Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
2926,"Valdez-Chitina-Whittier Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
2928,"Wrangell-Petersburg Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
2929,"Yukon-Koyukuk Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
4001,"Apache, AZ",24567,25995,26785,27512,27555,28161,29626,31120,31931
4003,"Cochise, AZ",33037,34101,34594,35309,34484,34581,35688,36924,37426
4005,"Coconino, AZ",35961,34030,34717,37248,37228,38626,40452,42706,43655
4007,"Gila, AZ",30957,31057,31583,32934,31924,32598,34163,35786,36068
4009,"Graham, AZ",25591,23764,24513,25501,26710,27188,28784,28998,28635
4011,"Greenlee, AZ",33633,29407,30282,31169,31115,34683,35758,33840,33265
4012,"La Paz, AZ*",26362,25920,26455,29908,29086,30759,31147,34532,37160
4013,"Maricopa, AZ",38649,35825,36326,37930,39505,39889,41720,43469,44687
4015,"Mohave, AZ",25693,25685,25933,25960,26429,27350,28921,29685,30830
4017,"Navajo, AZ",23914,24674,24671,25587,25967,26704,27431,28415,29787
4019,"Pima, AZ",36143,33929,34199,35373,36547,36861,38046,39137,40050
4021,"Pinal, AZ",26807,24525,23945,25551,26283,27980,28937,30169,31448
4023,"Santa Cruz, AZ",27952,28366,29350,30513,31142,30748,32408,32910,33953
4025,"Yavapai, AZ",30974,29447,29329,30499,31297,32574,34851,36117,37326
4027,"Yuma, AZ*",26704,26819,27674,28561,28400,30147,30409,32576,33253
5001,"Arkansas, AR",33432,34319,34229,36563,38272,41677,41585,41867,44062
5003,"Ashley, AR",27308,27787,29570,31683,31614,31965,31714,32971,33911
5005,"Baxter, AR",29871,29006,29583,30637,32381,32492,34688,34901,35299
5007,"Benton, AR",53391,48325,49803,57348,67897,65402,75695,80956,84664
5009,"Boone, AR",27872,27643,28663,29670,30719,30958,32728,33299,33572
5011,"Bradley, AR",25537,25636,28065,29113,31538,32021,34232,35438,36283
