GeoFips,GeoName,1990,1991,1992,1993,1994,1995,1996,1997,1998
1001,"Autauga, AL",15482,16417,17063,17700,18683,19350,20155,21076,21993
1003,"Baldwin, AL",15831,16954,18107,19106,20129,21153,22342,23434,24649
1005,"Barbour, AL",13490,14180,14943,15349,15930,15912,16109,16670,17545
1007,"Bibb, AL",12672,12896,13494,13936,14686,15352,15892,16375,16038
1009,"Blount, AL",13797,14269,14761,15205,15923,16537,17663,18109,19117
1011,"Bullock, AL",10483,11378,12304,12645,12939,13667,13611,14796,15620
1013,"Butler, AL",11293,11994,12847,13580,14476,15576,16171,16408,17517
1015,"Calhoun, AL",15149,16062,16853,17238,17846,18696,19270,19828,20997
1017,"Chambers, AL",13743,13780,14669,15309,15962,16630,17328,18276,19032
1019,"Cherokee, AL",12458,13405,14087,14483,14948,15684,16542,17235,17585
1021,"Chilton, AL",13068,13547,14279,14965,15776,16754,17179,18195,18468
1023,"Choctaw, AL",12472,13502,14278,14750,16020,16575,16642,17471,18335
1025,"Clarke, AL",13312,13902,14571,15156,15785,16951,18153,18446,18923
1027,"Clay, AL",13740,14567,15466,16333,17397,17945,18325,18316,19182
1029,"Cleburne, AL",14069,14887,14825,15953,16566,17255,17112,17235,18378
1031,"Coffee, AL",15560,16696,17538,18163,18678,19206,20000,20557,22952
1033,"Colbert, AL",15518,15995,16848,17327,18165,18873,19844,20441,20419
1035,"Conecuh, AL",12030,13021,14017,14673,15888,16527,17146,18428,19217
1037,"Coosa, AL",12359,12861,13926,13897,14327,14775,15923,16855,17215
1039,"Covington, AL",13248,14049,14850,15407,16303,16748,17285,18198,19157
1041,"Crenshaw, AL",12666,13658,14794,15812,16853,17353,18164,18477,20319
1043,"Cullman, AL",14327,14990,15887,16445,17323,17892,18397,19591,21114
1045,"Dale, AL",16300,16925,17847,18029,17937,18528,18936,19202,20544
1047,"Dallas, AL",12494,13223,13957,14404,15702,16348,16643,17557,18207
1049,"DeKalb, AL",13423,13969,15032,15737,16132,16745,17595,18497,19659
1051,"Elmore, AL",15051,15768,16614,17186,18223,19330,20252,21472,22507
1053,"Escambia, AL",12759,13428,13909,14493,15120,15793,16525,17141,17612
1055,"Etowah, AL",14608,14945,15993,16708,17549,18137,18866,19605,20318
1057,"Fayette, AL",12915,13298,14412,15349,15808,16828,17339,18106,18290
1059,"Franklin, AL",13337,14136,15460,16019,16760,17879,18681,18789,19019
1061,"Geneva, AL",13987,14588,15808,16535,17159,17930,18383,18686,19840
1063,"Greene, AL",10813,11388,11864,12543,13030,14003,14374,15553,15747
1065,"Hale, AL",11216,11841,12653,13386,13923,14655,14771,15016,15485
1067,"Henry, AL",13297,14322,15676,15341,16551,17267,17899,18762,18825
1069,"Houston, AL",16535,17011,18228,18277,19445,20652,20928,21800,23251
1071,"Jackson, AL",14753,15359,16062,16605,17217,17805,18334,19242,19585
1073,"Jefferson, AL",18969,19667,20781,21525,22745,24022,25082,26257,28000
1075,"Lamar, AL",13512,14041,14800,15314,15790,16884,17233,17697,18702
1077,"Lauderdale, AL",15927,16423,17387,17815,18786,19805,20246,20676,21178
1079,"Lawrence, AL",12948,13766,14761,15090,16349,16561,16988,17361,19136
1081,"Lee, AL",14404,14940,15957,16466,17251,17953,18321,18942,19656
1083,"Limestone, AL",15772,16524,17597,17715,18608,19123,19574,20085,21370
1085,"Lowndes, AL",10938,11629,12081,12638,13414,13830,14526,15461,15897
1087,"Macon, AL",10850,11708,12273,12765,13690,14427,14870,15131,15359
1089,"Madison, AL",20547,21245,22394,22238,22541,23722,24636,26193,27489
1091,"Marengo, AL",13176,14119,15043,15628,16762,17402,18196,18862,20044
1093,"Marion, AL",12060,12807,13855,14597,15465,16584,16981,17603,18640
1095,"Marshall, AL",15305,16182,17544,18385,19187,20356,20222,20329,21197
1097,"Mobile, AL",14576,15448,16373,16856,17542,18341,19082,19839,21316
1099,"Monroe, AL",13143,14734,14830,15017,15881,16411,17222,18143,18657
1101,"Montgomery, AL",18848,19432,20595,21135,22141,23155,23923,24848,26132
1103,"Morgan, AL",17562,18243,19262,19668,20655,21517,22211,22950,24024
1105,"Perry, AL",10212,11124,12360,12519,13202,13464,14100,15081,15461
1107,"Pickens, AL",12049,12613,13616,14277,14871,15388,16235,17132,17838
