GeoFips,GeoName,1999,2000,2001,2002,2003,2004,2005,2006,2007
2100,"Haines Borough, AK*",31366,34148,31195,31196,30560,33588,34733,36640,37441
2105,"Hoonah-Angoon Census Area, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
2110,"Juneau City and Borough, AK",35616,38415,39533,39555,41125,41858,44216,46642,49746
2122,"Kenai Peninsula Borough, AK*",26289,29711,30424,30812,31199,32363,33804,35555,37833
2130,"Ketchikan Gateway Borough, AK*",34140,37310,39081,39450,41107,41501,44290,45193,49421
2150,"Kodiak Island Borough, AK",27329,29190,30712,31046,34439,35466,37655,39651,41281
2158,"Kusilvak Census Area, AK*",14570,15647,16792,17691,18780,18764,19537,19469,20919
2164,"Lake and Peninsula Borough, AK*",20702,23370,28859,30490,31815,31856,29651,31442,35161
2170,"Matanuska-Susitna Borough, AK",25185,26863,29442,30183,30446,31011,32559,33655,36502
2180,"Nome Census Area, AK",22434,23306,24323,26546,28133,28995,30101,31107,32969
2185,"North Slope Borough, AK*",40788,44906,46127,43893,40502,38318,35797,33750,31214
2188,"Northwest Arctic Borough, AK",22505,24988,25715,25986,26744,26883,29602,30069,32665
2195,"Petersburg Borough, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
2198,"Prince of Wales-Hyder Census Area, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
2201,"Prince of Wales-Outer Ketchikan Census Area, AK*",21831,22943,21825,23205,24899,25953,27031,26720,28143
2220,"Sitka City and Borough, AK*",28877,31131,33740,33922,35946,36766,38698,40260,43581
2230,"Skagway Municipality, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
2231,"Skagway-Yakutat-Angoon Census Area, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
2232,"Skagway-Hoonah-Angoon Census Area, AK*",27411,31747,31464,32202,33320,33262,35261,37432,39331
2240,"Southeast Fairbanks Census Area, AK*",23154,23946,24076,26512,30219,31305,34228,33786,36105
2261,"Valdez-Cordova Census Area, AK*",30972,32904,32363,34540,35353,36653,38884,40191,44325
2275,"Wrangell City and Borough, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
2280,"Wrangell-Petersburg Census Area, AK*",29198,30771,35825,35908,36919,35731,38283,41163,42213
2282,"Yakutat City and Borough, AK*",25265,29785,28272,30981,34248,38300,38979,41259,41587
2290,"Yukon-Koyukuk Census Area, AK*",19763,21293,24269,25138,26749,27842,29543,30581,33310
2901,"Aleutian Islands Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
2903,"Angoon Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
2904,"Barrow-North Slope Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
2905,"Bethel Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
2907,"Bristol Bay Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
2908,"Cordova-McCarthy Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
2910,"Haines Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
2912,"Kenai-Cook Inlet Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
2916,"Kuskokwim Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
2919,"Outer Ketchikan Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
2920,"Prince of Wales Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
2921,"Seward Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
2922,"Sitka Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
2923,"Skagway-Yakutat Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
2924,"Southeast Fairbanks Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
2925,"Upper Yukon Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
2926,"Valdez-Chitina-Whittier Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
2928,"Wrangell-Petersburg Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
2929,"Yukon-Koyukuk Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
4001,"Apache, AZ",14102,14333,16347,17124,18102,19092,20373,21064,22477
4003,"Cochise, AZ",19614,20713,22238,23153,25045,26330,27936,29312,31366
4005,"Coconino, AZ",22477,23821,24947,25475,26372,27931,29515,32013,33941
4007,"Gila, AZ",19008,19607,20571,21238,22628,23822,25218,26752,28765
4009,"Graham, AZ",14393,14905,15223,15927,17147,18288,19607,21250,22834
4011,"Greenlee, AZ",20919,23754,21206,21192,22609,23435,25223,27474,29459
4012,"La Paz, AZ*",15857,15652,17469,18310,20359,21260,22238,22740,24895
4013,"Maricopa, AZ",27897,29723,29777,30062,31051,33198,35598,38544,39713
