GeoFips,GeoName,2017,2018,2019,2020,2021
2903,"Angoon Division, AK*",(NA),(NA),(NA),(NA),(NA)
2904,"Barrow-North Slope Division, AK*",(NA),(NA),(NA),(NA),(NA)
2905,"Bethel Division, AK*",(NA),(NA),(NA),(NA),(NA)
2907,"Bristol Bay Division, AK*",(NA),(NA),(NA),(NA),(NA)
2908,"Cordova-McCarthy Division, AK*",(NA),(NA),(NA),(NA),(NA)
2910,"Haines Division, AK*",(NA),(NA),(NA),(NA),(NA)
2912,"Kenai-Cook Inlet Division, AK*",(NA),(NA),(NA),(NA),(NA)
2916,"Kuskokwim Division, AK*",(NA),(NA),(NA),(NA),(NA)
2919,"Outer Ketchikan Division, AK*",(NA),(NA),(NA),(NA),(NA)
2920,"Prince of Wales Division, AK*",(NA),(NA),(NA),(NA),(NA)
2921,"Seward Division, AK*",(NA),(NA),(NA),(NA),(NA)
2922,"Sitka Division, AK*",(NA),(NA),(NA),(NA),(NA)
2923,"Skagway-Yakutat Division, AK*",(NA),(NA),(NA),(NA),(NA)
2924,"Southeast Fairbanks Division, AK*",(NA),(NA),(NA),(NA),(NA)
2925,"Upper Yukon Division, AK*",(NA),(NA),(NA),(NA),(NA)
2926,"Valdez-Chitina-Whittier Division, AK*",(NA),(NA),(NA),(NA),(NA)
2928,"Wrangell-Petersburg Division, AK*",(NA),(NA),(NA),(NA),(NA)
2929,"Yukon-Koyukuk Division, AK*",(NA),(NA),(NA),(NA),(NA)
4001,"Apache, AZ",33914,35874,36803,42196,45671
4003,"Cochise, AZ",39062,39631,41557,46909,49096
4005,"Coconino, AZ",46483,47997,49454,54008,56914
4007,"Gila, AZ",38591,39767,41033,45429,48752
4009,"Graham, AZ",30028,31136,32018,35987,38785
4011,"Greenlee, AZ",35940,39397,40517,43150,48079
4012,"La Paz, AZ*",37862,39280,43174,46286,49933
4013,"Maricopa, AZ",46680,49013,52032,56255,59759
4015,"Mohave, AZ",32467,33776,35647,38717,41331
4017,"Navajo, AZ",31339,32870,33756,38524,41680
4019,"Pima, AZ",42196,43794,45996,50131,52942
4021,"Pinal, AZ",33224,34832,37402,40979,43793
4023,"Santa Cruz, AZ",36391,36931,38555,43734,46828
4025,"Yavapai, AZ",39478,40945,43306,47203,49060
4027,"Yuma, AZ*",35604,35673,37624,42732,44299
5001,"Arkansas, AR",43991,45128,46906,52609,56733
5003,"Ashley, AR",34682,36131,38172,40395,42844
5005,"Baxter, AR",36457,36957,38535,40968,43479
5007,"Benton, AR",84871,92062,86848,86938,91687
5009,"Boone, AR",34360,35532,36495,38988,42642
5011,"Bradley, AR",37407,39088,39690,42740,46734
5013,"Calhoun, AR",35206,36458,38581,42102,45401
5015,"Carroll, AR",32692,33208,32829,34896,40689
5017,"Chicot, AR",35370,35860,38030,44738,47402
5019,"Clark, AR",35568,36540,38155,41306,42664
5021,"Clay, AR",33765,34276,34905,39772,42999
5023,"Cleburne, AR",37017,38057,39597,42579,45289
5025,"Cleveland, AR",39513,41724,41536,42714,49569
5027,"Columbia, AR",37458,37154,38169,40526,42785
5029,"Conway, AR",37041,38389,38985,41696,46412
5031,"Craighead, AR",36556,37172,38810,42024,45160
5033,"Crawford, AR",33208,34066,35445,37829,40691
5035,"Crittenden, AR",35813,36421,37978,41598,45416
5037,"Cross, AR",34282,33941,35961,40423,42009
5039,"Dallas, AR",34856,36742,39012,42465,46261
5041,"Desha, AR",36313,36722,38458,45111,48464
5043,"Drew, AR",36520,37218,38788,42476,45391
5045,"Faulkner, AR",37376,38783,40546,43322,45841
5047,"Franklin, AR",33127,34029,33810,35248,40591
5049,"Fulton, AR",27415,28444,29034,32621,34900
5051,"Garland, AR",38886,39732,41510,44472,46897
5053,"Grant, AR",37657,38452,40384,43237,46161
5055,"Greene, AR",33296,34250,35811,39258,41633
5057,"Hempstead, AR",32079,33208,33624,35784,41269
5059,"Hot Spring, AR",30542,31348,32211,34907,37474
5061,"Howard, AR",35753,36587,34864,35669,42224
5063,"Independence, AR",34373,34867,36060,38631,42120
5065,"Izard, AR",29200,30301,30885,33061,34986
5067,"Jackson, AR",36576,37308,37858,42541,42871
5069,"Jefferson, AR",33346,33838,34843,38571,42076
5071,"Johnson, AR",28850,29308,29625,31779,35577
5073,"Lafayette, AR",35459,36345,37184,40154,47355
5075,"Lawrence, AR",33155,33376,34286,39170,40161
5077,"Lee, AR",27951,27374,30106,34169,37128
5079,"Lincoln, AR",25907,26994,27391,29548,33387
5081,"Little River, AR",34166,34365,34511,37360,40794
5083,"Logan, AR",33139,33572,33216,35348,39622
5085,"Lonoke, AR",38078,39488,40743,43681,46388
5087,"Madison, AR",35704,35013,34040,34782,40884
5089,"Marion, AR",29649,30272,31484,33925,36684
5091,"Miller, AR",32820,33818,35023,37832,40319
5093,"Mississippi, AR",30867,32493,35086,38264,42273
5095,"Monroe, AR",31326,31850,33835,40187,41783
5097,"Montgomery, AR",30266,31498,31575,34374,37039
5099,"Nevada, AR",32057,32741,33332,35106,39041
5101,"Newton, AR",28720,30228,32564,35371,38629
5103,"Ouachita, AR",35727,37865,39340,42742,46428
5105,"Perry, AR",35275,36231,37206,39715,43793
5107,"Phillips, AR",32403,33013,35443,41005,45497
5109,"Pike, AR",32882,33695,33089,34971,40806
5111,"Poinsett, AR",32080,32742,34645,38591,41551
5113,"Polk, AR",29851,31086,31293,33816,38178
5115,"Pope, AR",34089,35313,36057,37465,40937
5117,"Prairie, AR",34858,35246,35328,42026,43835
5119,"Pulaski, AR",49037,49691,52047,55423,58583
5121,"Randolph, AR",32319,32684,33346,36205,39491
5123,"St. Francis, AR",27989,28722,30215,33394,36761
5125,"Saline, AR",41130,42397,43696,46269,49031
5127,"Scott, AR",31133,32022,32039,33703,38790
5129,"Searcy, AR",27197,27327,28574,31731,34335
5131,"Sebastian, AR",40512,41190,43368,45505,48556
5133,"Sevier, AR",32841,33944,33325,35030,41322
5135,"Sharp, AR",32832,34223,34817,36583,41025
5137,"Stone, AR",30229,31134,31554,33395,37002
5139,"Union, AR",42733,43010,45295,47422,50787
5141,"Van Buren, AR",30623,31665,32935,35870,38783
5143,"Washington, AR",38994,39549,41081,44261,47836
5145,"White, AR",35218,36660,37253,39958,42743
5147,"Woodruff, AR",37154,36782,38049,46730,49050
5149,"Yell, AR",33620,34799,34694,35573,41750
6001,"Alameda, CA",69857,74729,80623,88841,99746
6003,"Alpine, CA",68754,74933,80225,75220,72734
6005,"Amador, CA",41547,42221,44121,47790,49752
6007,"Butte, CA",41870,42909,46174,51402,54694
6009,"Calaveras, CA",46269,47806,50310,55355,57726
6011,"Colusa, CA",41528,46296,45180,55498,54511
6013,"Contra Costa, CA",75315,78930,81782,88910,99312
6015,"Del Norte, CA",34531,35330,36860,41309,43951
6017,"El Dorado, CA",63899,66404,69408,74679,78525
6019,"Fresno, CA",39939,40963,42987,48312,51422
6021,"Glenn, CA",40576,42802,43581,49454,50626
6023,"Humboldt, CA",43139,44222,46285,50693,53607
6025,"Imperial, CA",36050,35808,37904,45021,47653
6027,"Inyo, CA",57099,55474,58351,60124,62090
6029,"Kern, CA",36783,37743,39477,44063,45961
6031,"Kings, CA",35596,35229,36599,41397,43176
6033,"Lake, CA",38408,39004,40457,44403,46918
6035,"Lassen, CA",32152,32681,33092,37634,39394
6037,"Los Angeles, CA",57325,59617,63252,68541,74141
6039,"Madera, CA",37000,37570,39388,44072,45757
6041,"Marin, CA",121207,130128,139891,148419,164118
6043,"Mariposa, CA",49526,51556,54375,57964,61343
6045,"Mendocino, CA",44239,45654,48013,53087,56047
6047,"Merced, CA",36562,37065,38626,43980,46580
6049,"Modoc, CA",43785,44584,46245,52459,54301
6051,"Mono, CA",51617,50578,55369,61649,64164
6053,"Monterey, CA",52601,53065,56313,61105,63449
6055,"Napa, CA",68950,69510,74379,82643,90608
6057,"Nevada, CA",56754,57767,61358,65652,68973
6059,"Orange, CA",64321,66735,70539,75737,81034
6061,"Placer, CA",63346,65218,68351,73261,76849
6063,"Plumas, CA",46386,48110,50296,54185,57193
6065,"Riverside, CA",39310,40790,43295,47702,51180
6067,"Sacramento, CA",48569,50502,53005,57991,61829
6069,"San Benito, CA",48909,50518,54370,61564,68868
6071,"San Bernardino, CA",37537,38849,41253,45499,49493
6073,"San Diego, CA",57423,59428,62533,67830,72637
6075,"San Francisco, CA",119208,128812,130464,141134,160749
6077,"San Joaquin, CA",41134,42576,45547,51766,57783
6079,"San Luis Obispo, CA",54288,55978,59806,63652,66617
6081,"San Mateo, CA",115556,124705,131180,142264,160485
6083,"Santa Barbara, CA",57835,60455,63586,69457,73995
6085,"Santa Clara, CA",98428,107226,113693,122785,138724
6087,"Santa Cruz, CA",62780,65704,70129,77181,85554
6089,"Shasta, CA",42985,44100,46113,51514,54972
6091,"Sierra, CA",38822,39619,41365,44542,47135
6093,"Siskiyou, CA",41574,42510,43951,49420,52368
6095,"Solano, CA",46866,48781,51819,58406,65448
6097,"Sonoma, CA",58500,61682,66715,73526,81006
6099,"Stanislaus, CA",40922,41729,43729,49128,52356
6101,"Sutter, CA",40711,42439,44212,49710,53017
6103,"Tehama, CA",38189,39011,40437,45064,48042
6105,"Trinity, CA",30022,30958,32079,34293,36906
6107,"Tulare, CA",38212,38297,40061,45556,47986
6109,"Tuolumne, CA",43468,44195,46104,49622,52306
6111,"Ventura, CA",57944,60207,63833,68647,73375
6113,"Yolo, CA",51107,52351,55724,60918,64468
6115,"Yuba, CA",37932,39530,41443,45806,48984
8001,"Adams, CO*",41231,43405,45266,48606,53183
8003,"Alamosa, CO",34559,36311,38025,41152,44507
8005,"Arapahoe, CO",56702,61395,65322,68630,74267
8007,"Archuleta, CO",42282,44646,46973,50527,52312
8009,"Baca, CO",43888,41894,39990,46142,52905
8011,"Bent, CO",23287,26037,27231,29796,32716
8013,"Boulder, CO*",68856,71974,79698,83173,89593
8014,"Broomfield, CO*",62352,66660,67287,66999,73678
8015,"Chaffee, CO",45499,48871,53607,56878,60550
8017,"Cheyenne, CO",38910,40277,54006,47755,76057
8019,"Clear Creek, CO",59802,60171,66439,70828,77242
8021,"Conejos, CO",35239,37632,38179,41346,45961
8023,"Costilla, CO",33700,35678,37326,39705,43239
8025,"Crowley, CO",17933,19114,19286,21480,24314
8027,"Custer, CO",42229,43455,46705,49704,51271
8029,"Delta, CO",36411,37968,38727,43409,46042
8031,"Denver, CO",74615,79256,86539,89736,99133
8033,"Dolores, CO",32024,33164,35024,36479,39481
8035,"Douglas, CO",71101,76125,77986,81637,87841
8037,"Eagle, CO",73530,81113,84648,91432,97255
8039,"Elbert, CO",56318,60292,63234,65896,70961
8041,"El Paso, CO",46422,48299,51015,54712,58627
8043,"Fremont, CO",32224,34035,35147,38325,41017
8045,"Garfield, CO",55309,57020,59183,62296,67123
8047,"Gilpin, CO",49481,50581,53743,59027,63971
8049,"Grand, CO",49631,52135,54819,58265,62267
8051,"Gunnison, CO",45983,48955,51935,56168,59514
8053,"Hinsdale, CO",46666,48280,50952,52257,56524
8055,"Huerfano, CO",38842,39312,41652,45781,48801
8057,"Jackson, CO",48802,54313,54569,58270,62823
8059,"Jefferson, CO*",59614,62407,66571,69118,74822
8061,"Kiowa, CO",40487,44090,52817,53903,75006
8063,"Kit Carson, CO",37731,36361,42172,42436,52253
8065,"Lake, CO",35455,38096,40328,44537,48942
8067,"La Plata, CO",53263,56979,60274,63179,66944
8069,"Larimer, CO",51471,53935,56851,60219,64258
8071,"Las Animas, CO",35352,37753,38055,42016,44731
8073,"Lincoln, CO",27018,28040,29608,32951,37623
8075,"Logan, CO",45065,44659,43230,44239,48330
8077,"Mesa, CO",42401,44673,46318,48884,52121
8079,"Mineral, CO",57359,59680,66224,67967,70250
8081,"Moffat, CO",39807,41820,41744,45652,49227
8083,"Montezuma, CO",40925,42548,44060,46887,50960
8085,"Montrose, CO",38301,41537,43187,46747,50789
8087,"Morgan, CO",41127,44374,44756,47366,52069
8089,"Otero, CO",33199,35032,36070,39281,42752
8091,"Ouray, CO",57301,64456,67967,72871,76727
8093,"Park, CO",45752,46179,49865,53092,57127
8095,"Phillips, CO",39291,40486,42230,44065,50382
8097,"Pitkin, CO",140975,154323,183241,187595,198939
8099,"Prowers, CO",38597,40000,39677,41752,46073
8101,"Pueblo, CO",36399,38158,39857,43513,46927
8103,"Rio Blanco, CO",43471,46084,47144,50197,54745
8105,"Rio Grande, CO",41157,44498,47729,52047,57350
8107,"Routt, CO",80216,81037,88318,94626,98371
8109,"Saguache, CO",31277,34021,37140,38688,43959
8111,"San Juan, CO",45827,43978,49887,53827,58067
8113,"San Miguel, CO",79559,86188,95927,101654,109613
8115,"Sedgwick, CO",40622,38379,42382,41472,51705
8117,"Summit, CO",64768,68909,76517,81157,86390
8119,"Teller, CO",49006,50311,54000,57928,61966
8121,"Washington, CO",34496,36085,39264,41064,48270
8123,"Weld, CO*",44764,48129,50117,52354,56553
8125,"Yuma, CO",42684,42236,44269,41615,48898
9001,"Fairfield, CT",108910,114725,116996,119366,127391
9003,"Hartford, CT",60225,62357,64283,67205,70168
9005,"Litchfield, CT",58969,60442,65789,69700,74852
9007,"Middlesex, CT",63730,65376,68546,71602,74453
9009,"New Haven, CT",51953,54059,56888,60128,64643
9011,"New London, CT",54986,55889,58362,61222,63877
9013,"Tolland, CT",53575,55110,57947,60819,63722
9015,"Windham, CT",43852,44755,47872,51376,55261
10001,"Kent, DE",40886,42327,44490,46542,50432
10003,"New Castle, DE",53466,56208,56930,59303,63189
10005,"Sussex, DE",50235,52164,55124,56669,59472
11001,"District of Columbia, DC",79984,82708,84671,89735,96477
12001,"Alachua, FL",41702,43622,45870,48858,52367
12003,"Baker, FL",33036,34266,35058,37403,40735
12005,"Bay, FL",41113,42273,46452,50394,53980
12007,"Bradford, FL",33124,33802,34515,36956,39748
12009,"Brevard, FL",43860,46061,48725,51769,55477
12011,"Broward, FL",48825,50978,54387,57878,64453
12013,"Calhoun, FL",26941,28084,30016,33042,35792
12015,"Charlotte, FL",41827,43422,46707,49052,51677
12017,"Citrus, FL",36916,37942,39985,42292,45050
12019,"Clay, FL",42639,43814,45319,48070,51885
12021,"Collier, FL",93645,103875,110272,112479,117984
12023,"Columbia, FL",34588,35927,37206,39839,43184
12027,"DeSoto, FL",26336,26761,28389,30286,32873
12029,"Dixie, FL",27882,28762,29496,32064,33813
12031,"Duval, FL",43780,44800,47097,50307,54354
12033,"Escambia, FL",41715,42701,44739,47837,51808
12035,"Flagler, FL",46193,47955,50695,52613,56336
12037,"Franklin, FL",33691,36539,36528,38995,41878
12039,"Gadsden, FL",34346,35149,37238,40463,44832
12041,"Gilchrist, FL",34108,34949,36618,39046,41769
12043,"Glades, FL",26782,27392,28683,31398,33401
12045,"Gulf, FL",32887,35693,43025,45709,49250
12047,"Hamilton, FL",26273,27686,27604,29767,32123
12049,"Hardee, FL",28940,28242,29812,32358,35636
12051,"Hendry, FL",32122,32826,34352,37672,39699
12053,"Hernando, FL",36458,37677,39733,42585,46080
12055,"Highlands, FL",34129,34362,36309,39163,41568
12057,"Hillsborough, FL",45668,47503,50058,53432,58140
12059,"Holmes, FL",30011,30895,32243,34564,37381
12061,"Indian River, FL",75846,81066,86856,89294,95109
12063,"Jackson, FL",30862,32293,34518,36810,39322
12065,"Jefferson, FL",38782,39992,43672,45771,50197
12067,"Lafayette, FL",25105,25100,27405,29032,31218
12069,"Lake, FL",41129,42157,43878,45880,49831
12071,"Lee, FL",51814,53678,56549,59300,62885
12073,"Leon, FL",42650,44791,46842,49821,54277
12075,"Levy, FL",35347,35646,37460,40271,43272
12077,"Liberty, FL",24490,25452,26830,29988,32872
12079,"Madison, FL",32132,33402,33602,36338,39165
12081,"Manatee, FL",47734,49267,53269,55550,59152
12083,"Marion, FL",36109,37109,39153,41960,45152
12085,"Martin, FL",82718,85601,92323,95026,102273
12086,"Miami-Dade, FL",49166,53584,56137,57713,64849
12087,"Monroe, FL",81012,90635,98415,99764,109136
12089,"Nassau, FL",57566,61119,63408,66227,70010
12091,"Okaloosa, FL",47382,48870,51512,54934,59384
12093,"Okeechobee, FL",32456,32214,33555,35985,39747
12095,"Orange, FL",42525,44153,46649,49597,54979
12097,"Osceola, FL",32899,34578,36498,39421,43354
12099,"Palm Beach, FL",78211,83025,89254,92773,100627
12101,"Pasco, FL",39833,41423,43822,46696,50479
12103,"Pinellas, FL",52030,54295,57635,60996,65936
12105,"Polk, FL",35634,36461,38196,40970,43556
12107,"Putnam, FL",31991,32994,34224,37129,40376
12109,"St. Johns, FL",68303,71174,74335,76387,80062
12111,"St. Lucie, FL",39728,41117,43308,45760,50038
12113,"Santa Rosa, FL",44654,45315,47484,50016,53778
12115,"Sarasota, FL",64654,68009,72499,75070,78815
12117,"Seminole, FL",47350,49630,50950,52916,58539
12119,"Sumter, FL",48046,51202,59209,60900,64282
12121,"Suwannee, FL",33122,34201,34336,36672,39039
12123,"Taylor, FL",28743,30472,30671,33070,35156
12125,"Union, FL",20031,20768,21387,23094,25293
12127,"Volusia, FL",41402,43202,46612,48620,52964
12129,"Wakulla, FL",35688,37555,39253,41625,45669
12131,"Walton, FL",60125,64998,72175,74926,78714
12133,"Washington, FL",29636,30743,31302,33656,36331
13001,"Appling, GA",33075,33411,35398,38878,41863
13003,"Atkinson, GA",29096,29067,30314,32402,35527
13005,"Bacon, GA",31245,31278,32699,37802,39471
13007,"Baker, GA",34556,36529,41675,45195,51216
13009,"Baldwin, GA",32560,33261,34954,37833,40542
13011,"Banks, GA",36942,37899,38328,40087,43766
13013,"Barrow, GA",36232,37215,38623,41378,44534
13015,"Bartow, GA",37035,38322,40386,43775,47162
13017,"Ben Hill, GA",28953,30465,31711,35427,38640
13019,"Berrien, GA",32266,32762,34454,37305,39945
13021,"Bibb, GA",38694,39502,40356,43592,46781
13023,"Bleckley, GA",33660,34266,35755,38355,41298
13025,"Brantley, GA",27194,28371,29129,32549,35435
13027,"Brooks, GA",32508,33365,35010,38394,40982
13029,"Bryan, GA",47092,49347,49390,51580,54772
13031,"Bulloch, GA",31205,32201,33054,35618,37901
13033,"Burke, GA",32484,32703,36082,39207,41870
13035,"Butts, GA",32597,34068,35569,38057,41657
13037,"Calhoun, GA",26121,25522,28906,31898,34306
13039,"Camden, GA",35713,36105,37169,39729,42945
13043,"Candler, GA",31094,32040,34174,37183,40988
13045,"Carroll, GA",37621,38879,40663,44014,47002
13047,"Catoosa, GA",33916,34897,36389,39530,42448
13049,"Charlton, GA",25342,25780,26630,29062,30916
13051,"Chatham, GA",44911,46526,47724,51482,54586
13053,"Chattahoochee, GA",33845,32486,32636,36007,39690
13055,"Chattooga, GA",29625,30242,31192,33948,36833
13057,"Cherokee, GA",49879,51614,53954,56552,60235
13059,"Clarke, GA",32173,33267,35408,38188,40672
13061,"Clay, GA",31083,32364,33969,38731,40439
13063,"Clayton, GA",26433,27092,28280,32446,36056
13065,"Clinch, GA",34995,35934,37877,40601,42450
13067,"Cobb, GA",55306,57598,60261,63105,67616
13069,"Coffee, GA",31375,31813,32872,35690,40209
13071,"Colquitt, GA",32166,32669,33677,37233,40678
13073,"Columbia, GA",49091,50717,53105,55920,58242
13075,"Cook, GA",30985,32410,33537,36344,39380
13077,"Coweta, GA",46225,48430,50529,53894,57721
13079,"Crawford, GA",33603,34034,35090,37733,41063
13081,"Crisp, GA",33759,34823,37640,41308,45951
13083,"Dade, GA",33475,35305,35111,37634,40579
13085,"Dawson, GA",44349,46277,48887,50904,53996
13087,"Decatur, GA",31439,32917,34174,37395,41331
13089,"DeKalb, GA",48811,51223,53152,57129,61861
13091,"Dodge, GA",30110,30716,31895,34346,37268
13093,"Dooly, GA",33527,34152,37552,40132,43689
13095,"Dougherty, GA",33919,34587,36587,40942,44575
13097,"Douglas, GA",34791,36061,37339,41066,44779
13099,"Early, GA",33435,33945,36938,40192,43650
13101,"Echols, GA",28545,29783,30257,34554,36062
13103,"Effingham, GA",40772,42117,42320,44887,48212
13105,"Elbert, GA",34722,35180,35196,37588,41104
13107,"Emanuel, GA",31770,31562,33649,37982,40614
13109,"Evans, GA",33077,33502,33693,36770,39404
13111,"Fannin, GA",36413,38034,40680,43024,46163
13113,"Fayette, GA",60457,64502,65794,68463,73202
13115,"Floyd, GA",36483,37640,39008,41411,44803
13117,"Forsyth, GA",61602,63100,66644,68985,73337
13119,"Franklin, GA",35048,35479,34939,35255,39616
13121,"Fulton, GA",82739,88003,95148,95825,102074
13123,"Gilmer, GA",34804,35889,37263,38886,42351
13125,"Glascock, GA",33324,33895,35630,38061,42716
13127,"Glynn, GA",44731,47229,48693,52149,55351
13129,"Gordon, GA",36272,35352,36576,38445,42281
13131,"Grady, GA",31769,32373,33245,35214,39020
13133,"Greene, GA",55622,59749,62615,63335,67417
13135,"Gwinnett, GA",39975,41523,43158,46705,50256
13137,"Habersham, GA",33092,34148,35211,36989,39304
13139,"Hall, GA",43214,45513,47263,49925,53920
13141,"Hancock, GA",27714,29380,30507,32961,35778
13143,"Haralson, GA",35441,36688,38370,40611,44003
13145,"Harris, GA",46690,48849,50679,52889,56595
13147,"Hart, GA",36807,38493,39262,40960,43900
13149,"Heard, GA",31345,32468,33872,36081,39769
13151,"Henry, GA",37984,39134,39910,43389,46961
13153,"Houston, GA",40718,41839,43165,45536,48929
13155,"Irwin, GA",31340,32248,34392,37925,40963
13157,"Jackson, GA",41149,42869,43894,45903,49063
13159,"Jasper, GA",38875,37253,39331,41228,44317
